time,x,y,z
20160805 16:41:09.949931,0,228048,228048,228048
20160805 16:41:09.957744,0,228049,228049,228049
20160805 16:41:09.965556,0,228050,228050,228050
20160805 16:41:09.973368,0,228051,228051,228051
20160805 16:41:09.981181,0,228052,228052,228052
20160805 16:41:09.988994,0,228053,228053,228053
20160805 16:41:09.996806,0,228054,228054,228054
20160805 16:41:10.004618,0,228055,228055,228055
20160805 16:41:10.012431,0,228056,228056,228056
20160805 16:41:10.020244,0,228057,228057,228057
20160805 16:41:10.028056,0,228058,228058,228058
20160805 16:41:10.035868,0,228059,228059,228059
20160805 16:41:10.043681,0,228060,228060,228060
20160805 16:41:10.051494,0,228061,228061,228061
20160805 16:41:10.059306,0,228062,228062,228062
20160805 16:41:10.067118,0,228063,228063,228063
20160805 16:41:10.074931,0,228064,228064,228064
20160805 16:41:10.082744,0,228065,228065,228065
20160805 16:41:10.090556,0,228066,228066,228066
20160805 16:41:10.098368,0,228067,228067,228067
20160805 16:41:10.106181,0,228068,228068,228068
20160805 16:41:10.113994,0,228069,228069,228069
20160805 16:41:10.121806,0,228070,228070,228070
20160805 16:41:10.129618,0,228071,228071,228071
20160805 16:41:10.137431,0,228072,228072,228072
20160805 16:41:10.145244,0,228073,228073,228073
20160805 16:41:10.153056,0,228074,228074,228074
20160805 16:41:10.160868,0,228075,228075,228075
20160805 16:41:10.168681,0,228076,228076,228076
20160805 16:41:10.176494,0,228077,228077,228077
20160805 16:41:10.184306,0,228078,228078,228078
20160805 16:41:10.192118,0,228079,228079,228079
20160805 16:41:10.199931,0,228080,228080,228080
20160805 16:41:10.207744,0,228081,228081,228081
20160805 16:41:10.215556,0,228082,228082,228082
20160805 16:41:10.223368,0,228083,228083,228083
20160805 16:41:10.231181,0,228084,228084,228084
20160805 16:41:10.238994,0,228085,228085,228085
20160805 16:41:10.246806,0,228086,228086,228086
20160805 16:41:10.254618,0,228087,228087,228087
20160805 16:41:10.262431,0,228088,228088,228088
20160805 16:41:10.270244,0,228089,228089,228089
20160805 16:41:10.278056,0,228090,228090,228090
20160805 16:41:10.285868,0,228091,228091,228091
20160805 16:41:10.293681,0,228092,228092,228092
20160805 16:41:10.301494,0,228093,228093,228093
20160805 16:41:10.309306,0,228094,228094,228094
20160805 16:41:10.317118,0,228095,228095,228095
20160805 16:41:10.324931,0,228096,228096,228096
20160805 16:41:10.332744,0,228097,228097,228097
20160805 16:41:10.340556,0,228098,228098,228098
20160805 16:41:10.348368,0,228099,228099,228099
20160805 16:41:10.356181,0,228100,228100,228100
20160805 16:41:10.363994,0,228101,228101,228101
20160805 16:41:10.371806,0,228102,228102,228102
20160805 16:41:10.379618,0,228103,228103,228103
20160805 16:41:10.387431,0,228104,228104,228104
20160805 16:41:10.395244,0,228105,228105,228105
20160805 16:41:10.403056,0,228106,228106,228106
20160805 16:41:10.410868,0,228107,228107,228107
20160805 16:41:10.418681,0,228108,228108,228108
20160805 16:41:10.426494,0,228109,228109,228109
20160805 16:41:10.434306,0,228110,228110,228110
20160805 16:41:10.442118,0,228111,228111,228111
20160805 16:41:10.449931,0,228112,228112,228112
20160805 16:41:10.457744,0,228113,228113,228113
20160805 16:41:10.465556,0,228114,228114,228114
20160805 16:41:10.473368,0,228115,228115,228115
20160805 16:41:10.481181,0,228116,228116,228116
20160805 16:41:10.488994,0,228117,228117,228117
20160805 16:41:10.496806,0,228118,228118,228118
20160805 16:41:10.504618,0,228119,228119,228119
20160805 16:41:10.512431,0,228120,228120,228120
20160805 16:41:10.520244,0,228121,228121,228121
20160805 16:41:10.528056,0,228122,228122,228122
20160805 16:41:10.535868,0,228123,228123,228123
20160805 16:41:10.543681,0,228124,228124,228124
20160805 16:41:10.551494,0,228125,228125,228125
20160805 16:41:10.559306,0,228126,228126,228126
20160805 16:41:10.567118,0,228127,228127,228127
20160805 16:41:10.574931,0,228128,228128,228128
20160805 16:41:10.582744,0,228129,228129,228129
20160805 16:41:10.590556,0,228130,228130,228130
20160805 16:41:10.598368,0,228131,228131,228131
20160805 16:41:10.606181,0,228132,228132,228132
20160805 16:41:10.613994,0,228133,228133,228133
20160805 16:41:10.621806,0,228134,228134,228134
20160805 16:41:10.629618,0,228135,228135,228135
20160805 16:41:10.637431,0,228136,228136,228136
20160805 16:41:10.645244,0,228137,228137,228137
20160805 16:41:10.653056,0,228138,228138,228138
20160805 16:41:10.660868,0,228139,228139,228139
20160805 16:41:10.668681,0,228140,228140,228140
20160805 16:41:10.676494,0,228141,228141,228141
20160805 16:41:10.684306,0,228142,228142,228142
20160805 16:41:10.692118,0,228143,228143,228143
20160805 16:41:10.699931,0,228144,228144,228144
20160805 16:41:10.707744,0,228145,228145,228145
20160805 16:41:10.715556,0,228146,228146,228146
20160805 16:41:10.723368,0,228147,228147,228147
20160805 16:41:10.731181,0,228148,228148,228148
20160805 16:41:10.738994,0,228149,228149,228149
20160805 16:41:10.746806,0,228150,228150,228150
20160805 16:41:10.754618,0,228151,228151,228151
